country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22.9k,71,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125k,0,0,400k,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,40k,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,360,100k,20,0,0,105,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,8020,0,6010,0,0,4000,0,431,2670,5000,912,0,263,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1k,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8030,0,0,0,0,0,68.7k,0,0,2030,5960,0,0,0,0,0,0,0,0,25.8k
Australia,13,3,0,0,45.7k,0,0,0,105,15,0,0,1,0,0,27,1020,0,1,4,0,408,122,12.1k,2.86M,432k,623k,0,0,10.7k,1350,209,129,2070,648,1200,9030,822,12k
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,4
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8k,0,0,0,0,15.5k,0,1510,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,806,0,0,0,907,0,0,5,0,0,0,0,4,0
Bangladesh,3.95M,163,25.2k,51.9k,2800,0,247,11.2k,1130,203,1060,2.04M,0,6040,0,1.85M,2.72M,12,10.6M,105k,59.3k,15.6M,10.3k,869k,659k,2.37M,119k,3.8M,231k,102k,147k,29k,102k,480,18.4k,35.8k,18.3k,8.98M,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,850,0,2,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,1,0,0,0,0,9010,1500,0,7000,3000
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,4,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4k,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,70k,0,0,0,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60k,0,62.6k,20k,0,0,0,3,0,20k,10k
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1k,0,0,0,0,0,6660
Brazil,0,0,0,0,0,0,0,110,0,0,63,0,4330,0,210,3020,0,0,0,45k,0,0,0,0,2000,0,0,679,0,0,0,3410,0,0,150k,346,0,0,1600
Barbados,0,0,0,0,0,0,0,0,0,0,5010,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,881,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65k,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0
Canada,10,0,0,0,0,354,0,0,0,0,0,0,0,0,0,1310,2400,276,0,0,0,0,0,0,1300,2,0,1,2030,4210,851,41,0,202,0,300,0,6,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,12,0,0,3,7,0,0,1,0,0
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,90k,0,0,0,0,0,16.8k,0,0,0,0,0,0,323k,0,30.8k,0,0,0,0,0,38k,0,0,0,0,2250,0,0,0,2400,0,0,0,157,0,0,0
China,14.1k,0,0,0,0,0,0,0,0,0,288,0,0,21.9k,13,202k,4.62M,1.39M,238k,38M,5.9M,3.36M,16.2M,8.65M,26.1M,6.57M,15.3M,7.27M,11M,2.18M,2.53M,21.2M,107M,9.48M,9.79M,40.8M,55.3M,9.01M,1.65M
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6k,0,5400,75.1k,0,18
Cook Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,0,1,0,0,0,0,0,0,919,0,0,0,744,0,0,0,608,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,28k,0,100k,0,0,0,0,0,0,0,0,0,0,2,0,7710,0,0,0,3070,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1k,0,35k,0,50k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,2230,0,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128k,0,0,0,0,0,0,8060,716k,0,16.7k,0,0,0,0,0,0,1080,0,0,55k
Cuba,20,0,0,0,0,0,0,0,176,0,3,0,180k,0,0,499k,0,0,61.5k,0,0,0,0,150k,111k,165,337k,0,147k,255k,0,5.9M,324k,0,247k,2.6M,268,193k,500k
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,4,2
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,6,11,30k,0,0,18,18,0,6,41,15,2,4,311,148,5
East Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Germany,0,0,54,0,0,0,82,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,72.1k,0,0,0,0,10k,0,0,0,0,710,0,0,0,0,0,5000,0,0,0,715,0,178,0,0,0,0,0,7530,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,4,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,1.55M,7,0,0,0,0,0,2010,3,0,0,0,0,0,0,0,2840,25k,0,976k,0,0,3,0,10k,14.3k,1010,0,143k,17k
